model,selection_metric,SR,CR,MPB,Sortino,Calmar,WinRate,ProfitFactor,Trades,TradeRate,FinalValue,run_dir,cash_SR,cash_CR,cash_MPB,buy_and_hold_SR,buy_and_hold_CR,buy_and_hold_MPB,equal_weight_SR,equal_weight_CR,equal_weight_MPB,momentum_trader_SR,momentum_trader_CR,momentum_trader_MPB
tft_like,best_score,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1000000.0,./final1_rvi_seed42\tft_like,0.0,0.0,0.0,-0.053526920240468324,-2.264464474778925,11.190905302259448,-0.16675183771492574,-2.8491393030690495,9.302866622187954,-0.441910554383659,-3.897701975254458,8.79780387921214
xlstm_base,best_score,1.1311100409438442,1.8096125,1.422236419813306,1.554948966092854,1.2723710873875274,0.20253164556962025,1.6444878568019994,189,1.1962025316455696,1018096.125,./final1_rvi_seed42\xlstm_base,0.0,0.0,0.0,-0.053526920240468324,-2.264464474778925,11.190905302259448,-0.16675183771492574,-2.8491393030690495,9.302866622187954,-0.441910554383659,-3.897701975254458,8.79780387921214
xlstm_attn,best_score,1.3679228924796911,3.8801,1.187940854065378,2.0721708018591385,3.2662400545629016,0.26582278481012656,2.5458533489458373,143,0.9050632911392406,1038801.0,./final1_rvi_seed42\xlstm_attn,0.0,0.0,0.0,-0.053526920240468324,-2.264464474778925,11.190905302259448,-0.16675183771492574,-2.8491393030690495,9.302866622187954,-0.441910554383659,-3.897701975254458,8.79780387921214
xlstm_large,best_score,0.9801391870162123,4.0130875,2.8725113815473047,1.3078031960048602,1.3970658308891761,0.33544303797468356,1.3829506907708602,332,2.1012658227848102,1040130.875,./final1_rvi_seed42\xlstm_large,0.0,0.0,0.0,-0.053526920240468324,-2.264464474778925,11.190905302259448,-0.16675183771492574,-2.8491393030690495,9.302866622187954,-0.441910554383659,-3.897701975254458,8.79780387921214
