model,selection_metric,SR,CR,MPB,Sortino,Calmar,WinRate,ProfitFactor,Trades,TradeRate,FinalValue,run_dir,cash_SR,cash_CR,cash_MPB,buy_and_hold_SR,buy_and_hold_CR,buy_and_hold_MPB,equal_weight_SR,equal_weight_CR,equal_weight_MPB,momentum_trader_SR,momentum_trader_CR,momentum_trader_MPB
mlp,best_score,-1.2516302978478977,-0.54005,0.866269906647603,-0.7469049227323838,-0.6234200170821488,0.13291139240506328,0.5345083394785032,48,0.3037974683544304,994599.5,./final1_hmm_seed1777\mlp,0.0,0.0,0.0,-0.053526920240468324,-2.264464474778925,11.190905302259448,-0.16675183771492574,-2.8491393030690495,9.302866622187954,-0.441910554383659,-3.897701975254458,8.79780387921214
lstm,best_score,0.5261015117111446,2.31015625,3.402645683435161,0.6491550667901801,0.6789294169670255,0.31645569620253167,1.1473472107287244,472,2.9873417721518987,1023101.5625,./final1_hmm_seed1777\lstm,0.0,0.0,0.0,-0.053526920240468324,-2.264464474778925,11.190905302259448,-0.16675183771492574,-2.8491393030690495,9.302866622187954,-0.441910554383659,-3.897701975254458,8.79780387921214
transformer_causal,best_score,-0.07383655239756773,-0.28396875,2.987384493826497,-0.09235050814234298,-0.09505597641911456,0.379746835443038,0.9830271129521632,164,1.0379746835443038,997160.3125,./final1_hmm_seed1777\transformer_causal,0.0,0.0,0.0,-0.053526920240468324,-2.264464474778925,11.190905302259448,-0.16675183771492574,-2.8491393030690495,9.302866622187954,-0.441910554383659,-3.897701975254458,8.79780387921214
tft_like,best_score,0.8004195946668275,2.811775,3.193639938644884,1.0749324643187665,0.8804295581276717,0.16455696202531644,1.302471083279827,269,1.7025316455696202,1028117.75,./final1_hmm_seed1777\tft_like,0.0,0.0,0.0,-0.053526920240468324,-2.264464474778925,11.190905302259448,-0.16675183771492574,-2.8491393030690495,9.302866622187954,-0.441910554383659,-3.897701975254458,8.79780387921214
xlstm_base,best_score,-1.0800554902992265,-0.33360625,0.5191745440899685,-0.9826288291729602,-0.6425705069665143,0.22151898734177214,0.7598351406552714,160,1.0126582278481013,996663.9375,./final1_hmm_seed1777\xlstm_base,0.0,0.0,0.0,-0.053526920240468324,-2.264464474778925,11.190905302259448,-0.16675183771492574,-2.8491393030690495,9.302866622187954,-0.441910554383659,-3.897701975254458,8.79780387921214
xlstm_attn,best_score,-0.4507785876601569,-1.6555375,6.03288733530539,-0.3748669689872856,-0.2744187663362348,0.18354430379746836,0.8460412310423836,294,1.860759493670886,983444.625,./final1_hmm_seed1777\xlstm_attn,0.0,0.0,0.0,-0.053526920240468324,-2.264464474778925,11.190905302259448,-0.16675183771492574,-2.8491393030690495,9.302866622187954,-0.441910554383659,-3.897701975254458,8.79780387921214
xlstm_large,best_score,1.0349486992961319,2.63421875,1.5020323764833756,1.0687551058653018,1.753769619911489,0.189873417721519,1.538689814110449,229,1.4493670886075949,1026342.1875,./final1_hmm_seed1777\xlstm_large,0.0,0.0,0.0,-0.053526920240468324,-2.264464474778925,11.190905302259448,-0.16675183771492574,-2.8491393030690495,9.302866622187954,-0.441910554383659,-3.897701975254458,8.79780387921214
