model,selection_metric,SR,CR,MPB,Sortino,Calmar,WinRate,ProfitFactor,Trades,TradeRate,FinalValue,run_dir,cash_SR,cash_CR,cash_MPB,buy_and_hold_SR,buy_and_hold_CR,buy_and_hold_MPB,equal_weight_SR,equal_weight_CR,equal_weight_MPB,momentum_trader_SR,momentum_trader_CR,momentum_trader_MPB
mlp,best_score,0.5077864736588978,1.6868250000000002,3.2645429246211792,0.4797927968932871,0.5167109267511748,0.16455696202531644,1.2315672628491579,275,1.740506329113924,1016868.25,./final1_hmm_seed748\mlp,0.0,0.0,0.0,-0.053526920240468324,-2.264464474778925,11.190905302259448,-0.16675183771492574,-2.8491393030690495,9.302866622187954,-0.441910554383659,-3.897701975254458,8.79780387921214
lstm,best_score,0.40796974235237876,1.61086875,3.493339035918512,0.49509036399399775,0.46112579782181107,0.25316455696202533,1.1470675034149307,367,2.3227848101265822,1016108.6875,./final1_hmm_seed748\lstm,0.0,0.0,0.0,-0.053526920240468324,-2.264464474778925,11.190905302259448,-0.16675183771492574,-2.8491393030690495,9.302866622187954,-0.441910554383659,-3.897701975254458,8.79780387921214
transformer_causal,best_score,1.244694498440088,3.4332875,2.566897435951981,2.1290448857084336,1.3375242235678584,0.4240506329113924,1.4725654623896,333,2.107594936708861,1034332.875,./final1_hmm_seed748\transformer_causal,0.0,0.0,0.0,-0.053526920240468324,-2.264464474778925,11.190905302259448,-0.16675183771492574,-2.8491393030690495,9.302866622187954,-0.441910554383659,-3.897701975254458,8.79780387921214
tft_like,best_score,-0.08667174589239306,-0.35540625,3.0804474791791594,-0.11377547252551519,-0.11537487731967576,0.379746835443038,0.9810263751216491,154,0.9746835443037974,996445.9375,./final1_hmm_seed748\tft_like,0.0,0.0,0.0,-0.053526920240468324,-2.264464474778925,11.190905302259448,-0.16675183771492574,-2.8491393030690495,9.302866622187954,-0.441910554383659,-3.897701975254458,8.79780387921214
xlstm_base,best_score,-0.34629746262970484,-0.15853124999999998,0.4937956815216579,-0.38556415340057265,-0.32104624631685197,0.3924050632911392,0.9227846272670001,212,1.3417721518987342,998414.6875,./final1_hmm_seed748\xlstm_base,0.0,0.0,0.0,-0.053526920240468324,-2.264464474778925,11.190905302259448,-0.16675183771492574,-2.8491393030690495,9.302866622187954,-0.441910554383659,-3.897701975254458,8.79780387921214
xlstm_attn,best_score,0.8081459513435999,0.42290625000000004,0.5546689137110032,0.5850490455423993,0.7624480830745547,0.25949367088607594,1.297747848279676,70,0.4430379746835443,1004229.0625,./final1_hmm_seed748\xlstm_attn,0.0,0.0,0.0,-0.053526920240468324,-2.264464474778925,11.190905302259448,-0.16675183771492574,-2.8491393030690495,9.302866622187954,-0.441910554383659,-3.897701975254458,8.79780387921214
xlstm_large,best_score,0.026887730941942717,0.02010625,1.588712801643862,0.016427582315206815,0.012655685772277908,0.14556962025316456,1.011619600629334,128,0.810126582278481,1000201.0625,./final1_hmm_seed748\xlstm_large,0.0,0.0,0.0,-0.053526920240468324,-2.264464474778925,11.190905302259448,-0.16675183771492574,-2.8491393030690495,9.302866622187954,-0.441910554383659,-3.897701975254458,8.79780387921214
