model,selection_metric,SR,CR,MPB,Sortino,Calmar,WinRate,ProfitFactor,Trades,TradeRate,FinalValue,run_dir,cash_SR,cash_CR,cash_MPB,buy_and_hold_SR,buy_and_hold_CR,buy_and_hold_MPB,equal_weight_SR,equal_weight_CR,equal_weight_MPB,momentum_trader_SR,momentum_trader_CR,momentum_trader_MPB
mlp,best_score,0.3690644115360808,0.46825,0.9396772988035302,0.5018467639474583,0.4983093670520849,0.31645569620253167,1.1007977648990541,282,1.7848101265822784,1004682.5,./final1_seed1777\mlp,0.0,0.0,0.0,-0.053526920240468324,-2.264464474778925,11.190905302259448,-0.16675183771492574,-2.8491393030690495,9.302866622187954,-0.441910554383659,-3.897701975254458,8.79780387921214
lstm,best_score,0.01503067498949094,-0.42092500000000005,6.49729423579633,0.02600129298037731,-0.06478466030997133,0.3860759493670886,1.003046632824167,620,3.9240506329113924,995790.75,./final1_seed1777\lstm,0.0,0.0,0.0,-0.053526920240468324,-2.264464474778925,11.190905302259448,-0.16675183771492574,-2.8491393030690495,9.302866622187954,-0.441910554383659,-3.897701975254458,8.79780387921214
transformer_causal,best_score,1.0770357502274401,0.721,0.4207820658489875,2.0645837691113207,1.7134760687703747,0.1518987341772152,1.5988834247089172,66,0.4177215189873418,1007210.0,./final1_seed1777\transformer_causal,0.0,0.0,0.0,-0.053526920240468324,-2.264464474778925,11.190905302259448,-0.16675183771492574,-2.8491393030690495,9.302866622187954,-0.441910554383659,-3.897701975254458,8.79780387921214
tft_like,best_score,1.307241591922833,3.94459375,1.2439932753258633,1.7439740034437305,3.1709124383865466,0.10759493670886076,2.397695032008913,153,0.9683544303797469,1039445.9375,./final1_seed1777\tft_like,0.0,0.0,0.0,-0.053526920240468324,-2.264464474778925,11.190905302259448,-0.16675183771492574,-2.8491393030690495,9.302866622187954,-0.441910554383659,-3.897701975254458,8.79780387921214
xlstm_base,best_score,0.7971791818125361,5.194875000000001,3.825898209322646,1.3079993559303635,1.3578184038826595,0.4177215189873418,1.1823371335670292,523,3.310126582278481,1051948.75,./final1_seed1777\xlstm_base,0.0,0.0,0.0,-0.053526920240468324,-2.264464474778925,11.190905302259448,-0.16675183771492574,-2.8491393030690495,9.302866622187954,-0.441910554383659,-3.897701975254458,8.79780387921214
xlstm_attn,best_score,0.17263666228616414,0.09875,0.4424036770192111,0.13801975592259394,0.22321243047831146,0.15822784810126583,1.0725758307103674,113,0.7151898734177216,1000987.5,./final1_seed1777\xlstm_attn,0.0,0.0,0.0,-0.053526920240468324,-2.264464474778925,11.190905302259448,-0.16675183771492574,-2.8491393030690495,9.302866622187954,-0.441910554383659,-3.897701975254458,8.79780387921214
xlstm_large,best_score,0.7895663326950444,2.7861125,2.867239621887367,1.122968274229011,0.9717054963707691,0.2911392405063291,1.2192439022552104,495,3.132911392405063,1027861.125,./final1_seed1777\xlstm_large,0.0,0.0,0.0,-0.053526920240468324,-2.264464474778925,11.190905302259448,-0.16675183771492574,-2.8491393030690495,9.302866622187954,-0.441910554383659,-3.897701975254458,8.79780387921214
