model,selection_metric,SR,CR,MPB,Sortino,Calmar,WinRate,ProfitFactor,Trades,TradeRate,FinalValue,run_dir,cash_SR,cash_CR,cash_MPB,buy_and_hold_SR,buy_and_hold_CR,buy_and_hold_MPB,equal_weight_SR,equal_weight_CR,equal_weight_MPB,momentum_trader_SR,momentum_trader_CR,momentum_trader_MPB
mlp,best_score,1.0315054895148152,0.155325,0.09896106804755304,0.512159711672432,1.5695566252919058,0.05063291139240506,1.7556597358305739,70,0.4430379746835443,1001553.25,./final1_rvi_seed1777\mlp,0.0,0.0,0.0,-0.053526920240468324,-2.264464474778925,11.190905302259448,-0.16675183771492574,-2.8491393030690495,9.302866622187954,-0.441910554383659,-3.897701975254458,8.79780387921214
lstm,best_score,0.21137383581598262,0.5002625,2.904729995584858,0.27596741236484357,0.17222340828937316,0.4240506329113924,1.0451544278471776,601,3.8037974683544302,1005002.625,./final1_rvi_seed1777\lstm,0.0,0.0,0.0,-0.053526920240468324,-2.264464474778925,11.190905302259448,-0.16675183771492574,-2.8491393030690495,9.302866622187954,-0.441910554383659,-3.897701975254458,8.79780387921214
transformer_causal,best_score,-0.285712449516475,-0.1558,0.5622091646585633,-0.40504202977544845,-0.2771210606191724,0.4430379746835443,0.9432600305910476,160,1.0126582278481013,998442.0,./final1_rvi_seed1777\transformer_causal,0.0,0.0,0.0,-0.053526920240468324,-2.264464474778925,11.190905302259448,-0.16675183771492574,-2.8491393030690495,9.302866622187954,-0.441910554383659,-3.897701975254458,8.79780387921214
tft_like,best_score,1.0707976350728294,4.1235124999999995,1.9828719567074131,1.1645315442404274,2.079565695632284,0.16455696202531644,1.6076844049356056,178,1.1265822784810127,1041235.125,./final1_rvi_seed1777\tft_like,0.0,0.0,0.0,-0.053526920240468324,-2.264464474778925,11.190905302259448,-0.16675183771492574,-2.8491393030690495,9.302866622187954,-0.441910554383659,-3.897701975254458,8.79780387921214
xlstm_base,best_score,-0.22850151118171366,-0.33989375,1.449247987594227,-0.1738416901403197,-0.23453111745508,0.25316455696202533,0.9224458534047244,219,1.3860759493670887,996601.0625,./final1_rvi_seed1777\xlstm_base,0.0,0.0,0.0,-0.053526920240468324,-2.264464474778925,11.190905302259448,-0.16675183771492574,-2.8491393030690495,9.302866622187954,-0.441910554383659,-3.897701975254458,8.79780387921214
xlstm_attn,best_score,0.5952159293972894,0.648475,0.5103902280098443,0.6863350023274862,1.2705474447043925,0.31645569620253167,1.2212615900481631,213,1.3481012658227849,1006484.75,./final1_rvi_seed1777\xlstm_attn,0.0,0.0,0.0,-0.053526920240468324,-2.264464474778925,11.190905302259448,-0.16675183771492574,-2.8491393030690495,9.302866622187954,-0.441910554383659,-3.897701975254458,8.79780387921214
xlstm_large,best_score,-0.605302069229246,-0.42500000000000004,0.8592648284356914,-0.49533104787464327,-0.49460886322290293,0.2468354430379747,0.8219823494242798,210,1.3291139240506329,995750.0,./final1_rvi_seed1777\xlstm_large,0.0,0.0,0.0,-0.053526920240468324,-2.264464474778925,11.190905302259448,-0.16675183771492574,-2.8491393030690495,9.302866622187954,-0.441910554383659,-3.897701975254458,8.79780387921214
