model,selection_metric,SR,CR,MPB,Sortino,Calmar,WinRate,ProfitFactor,Trades,TradeRate,FinalValue,run_dir,cash_SR,cash_CR,cash_MPB,buy_and_hold_SR,buy_and_hold_CR,buy_and_hold_MPB,equal_weight_SR,equal_weight_CR,equal_weight_MPB,momentum_trader_SR,momentum_trader_CR,momentum_trader_MPB
mlp,best_score,1.1006979396271557,5.0214,2.886667833259948,1.9491867517185142,1.7395143085546056,0.2974683544303797,1.3119636385035953,402,2.5443037974683542,1050214.0,./final1_seed748\mlp,0.0,0.0,0.0,-0.053526920240468324,-2.264464474778925,11.190905302259448,-0.16675183771492574,-2.8491393030690495,9.302866622187954,-0.441910554383659,-3.897701975254458,8.79780387921214
lstm,best_score,0.0088570555888052,0.001675,0.7475555371371795,0.012478811237696267,0.0022406362026486213,0.4177215189873418,1.0019752738635166,387,2.449367088607595,1000016.75,./final1_seed748\lstm,0.0,0.0,0.0,-0.053526920240468324,-2.264464474778925,11.190905302259448,-0.16675183771492574,-2.8491393030690495,9.302866622187954,-0.441910554383659,-3.897701975254458,8.79780387921214
transformer_causal,best_score,0.3666011021230842,0.37869375,0.9257374994946653,0.5418915791297126,0.4090724964762889,0.379746835443038,1.1017091606361968,155,0.9810126582278481,1003786.9375,./final1_seed748\transformer_causal,0.0,0.0,0.0,-0.053526920240468324,-2.264464474778925,11.190905302259448,-0.16675183771492574,-2.8491393030690495,9.302866622187954,-0.441910554383659,-3.897701975254458,8.79780387921214
tft_like,best_score,-0.5706685416353818,-2.53008125,7.75919031886424,-0.5361584913186643,-0.3260754210202622,0.13924050632911392,0.8415300824357723,288,1.8227848101265822,974699.1875,./final1_seed748\tft_like,0.0,0.0,0.0,-0.053526920240468324,-2.264464474778925,11.190905302259448,-0.16675183771492574,-2.8491393030690495,9.302866622187954,-0.441910554383659,-3.897701975254458,8.79780387921214
xlstm_base,best_score,0.5038278696955855,3.40595,5.648287491077888,0.8309527031795153,0.603005779252576,0.379746835443038,1.1061089147002214,614,3.8860759493670884,1034059.5,./final1_seed748\xlstm_base,0.0,0.0,0.0,-0.053526920240468324,-2.264464474778925,11.190905302259448,-0.16675183771492574,-2.8491393030690495,9.302866622187954,-0.441910554383659,-3.897701975254458,8.79780387921214
xlstm_attn,best_score,1.1776266052907474,3.1732875000000003,1.4272225964426994,0.865734878721748,2.223400545863907,0.06329113924050633,2.019011919450993,97,0.6139240506329114,1031732.875,./final1_seed748\xlstm_attn,0.0,0.0,0.0,-0.053526920240468324,-2.264464474778925,11.190905302259448,-0.16675183771492574,-2.8491393030690495,9.302866622187954,-0.441910554383659,-3.897701975254458,8.79780387921214
xlstm_large,best_score,1.0475540900147733,4.24695625,3.1858588861057138,1.17013646232826,1.3330647721159226,0.25949367088607594,1.4306636857880393,400,2.5316455696202533,1042469.5625,./final1_seed748\xlstm_large,0.0,0.0,0.0,-0.053526920240468324,-2.264464474778925,11.190905302259448,-0.16675183771492574,-2.8491393030690495,9.302866622187954,-0.441910554383659,-3.897701975254458,8.79780387921214
