model,selection_metric,SR,CR,MPB,Sortino,Calmar,WinRate,ProfitFactor,Trades,TradeRate,FinalValue,run_dir,cash_SR,cash_CR,cash_MPB,buy_and_hold_SR,buy_and_hold_CR,buy_and_hold_MPB,equal_weight_SR,equal_weight_CR,equal_weight_MPB,momentum_trader_SR,momentum_trader_CR,momentum_trader_MPB
mlp,best_score,0.7019044732757599,2.0565625,2.5312386114056795,1.1855851694791246,0.8124727912782287,0.4050632911392405,1.1893086957966543,434,2.7468354430379747,1020565.625,./final1_rvi_seed748\mlp,0.0,0.0,0.0,-0.053526920240468324,-2.264464474778925,11.190905302259448,-0.16675183771492574,-2.8491393030690495,9.302866622187954,-0.441910554383659,-3.897701975254458,8.79780387921214
lstm,best_score,1.5305532783940756,5.5394875,1.5803632688856237,2.4836247067102075,3.5051988419764464,0.1962025316455696,2.3259732029303124,212,1.3417721518987342,1055394.875,./final1_rvi_seed748\lstm,0.0,0.0,0.0,-0.053526920240468324,-2.264464474778925,11.190905302259448,-0.16675183771492574,-2.8491393030690495,9.302866622187954,-0.441910554383659,-3.897701975254458,8.79780387921214
transformer_causal,best_score,-1.8499011494434234,-4.93686875,5.071884996494102,-1.6012381429514295,-0.9733794739850311,0.18354430379746836,0.5584285259832636,275,1.740506329113924,950631.3125,./final1_rvi_seed748\transformer_causal,0.0,0.0,0.0,-0.053526920240468324,-2.264464474778925,11.190905302259448,-0.16675183771492574,-2.8491393030690495,9.302866622187954,-0.441910554383659,-3.897701975254458,8.79780387921214
tft_like,best_score,-0.2819526863425343,-1.38246875,6.398642963695791,-0.3090038139515933,-0.21605655415433586,0.26582278481012656,0.9280430381219034,413,2.6139240506329116,986175.3125,./final1_rvi_seed748\tft_like,0.0,0.0,0.0,-0.053526920240468324,-2.264464474778925,11.190905302259448,-0.16675183771492574,-2.8491393030690495,9.302866622187954,-0.441910554383659,-3.897701975254458,8.79780387921214
xlstm_base,best_score,-0.42001858114217316,-0.5758375,1.8903793885811881,-0.22007361123531594,-0.3046147791699057,0.17088607594936708,0.7631961949431796,92,0.5822784810126582,994241.625,./final1_rvi_seed748\xlstm_base,0.0,0.0,0.0,-0.053526920240468324,-2.264464474778925,11.190905302259448,-0.16675183771492574,-2.8491393030690495,9.302866622187954,-0.441910554383659,-3.897701975254458,8.79780387921214
xlstm_attn,best_score,1.3218468692683354,2.33373125,1.6127346621867358,1.7894028221193734,1.447064606917825,0.3987341772151899,1.4983110184630914,231,1.4620253164556962,1023337.3125,./final1_rvi_seed748\xlstm_attn,0.0,0.0,0.0,-0.053526920240468324,-2.264464474778925,11.190905302259448,-0.16675183771492574,-2.8491393030690495,9.302866622187954,-0.441910554383659,-3.897701975254458,8.79780387921214
xlstm_large,best_score,1.2548584374528715,3.28085625,1.7615617536613868,1.474484594664612,1.8624701877074568,0.25316455696202533,1.5317876417129017,223,1.4113924050632911,1032808.5625,./final1_rvi_seed748\xlstm_large,0.0,0.0,0.0,-0.053526920240468324,-2.264464474778925,11.190905302259448,-0.16675183771492574,-2.8491393030690495,9.302866622187954,-0.441910554383659,-3.897701975254458,8.79780387921214
