model,selection_metric,SR,CR,MPB,Sortino,Calmar,WinRate,ProfitFactor,Trades,TradeRate,FinalValue,run_dir,cash_SR,cash_CR,cash_MPB,buy_and_hold_SR,buy_and_hold_CR,buy_and_hold_MPB,equal_weight_SR,equal_weight_CR,equal_weight_MPB,momentum_trader_SR,momentum_trader_CR,momentum_trader_MPB
mlp,best_score,-0.03998279576173347,-0.16305625,3.1275479531404726,-0.06261594446941532,-0.05213549158735358,0.36075949367088606,0.9883102978352863,246,1.5569620253164558,998369.4375,./final1_hmm_seed42\mlp,0.0,0.0,0.0,-0.053526920240468324,-2.264464474778925,11.190905302259448,-0.16675183771492574,-2.8491393030690495,9.302866622187954,-0.441910554383659,-3.897701975254458,8.79780387921214
lstm,best_score,-0.10650691350308394,-0.07663125,0.8023241274050174,-0.13585517635727723,-0.09551158613146897,0.44936708860759494,0.9779268893971542,198,1.2531645569620253,999233.6875,./final1_hmm_seed42\lstm,0.0,0.0,0.0,-0.053526920240468324,-2.264464474778925,11.190905302259448,-0.16675183771492574,-2.8491393030690495,9.302866622187954,-0.441910554383659,-3.897701975254458,8.79780387921214
transformer_causal,best_score,0.2862458513546051,0.47853124999999996,1.4987864993797901,0.3811680392532161,0.3192791302817446,0.27848101265822783,1.0938049710556885,145,0.9177215189873418,1004785.3125,./final1_hmm_seed42\transformer_causal,0.0,0.0,0.0,-0.053526920240468324,-2.264464474778925,11.190905302259448,-0.16675183771492574,-2.8491393030690495,9.302866622187954,-0.441910554383659,-3.897701975254458,8.79780387921214
tft_like,best_score,1.2456571863309314,3.6699437500000003,1.53028971154421,1.0081025997828648,2.3982019367409015,0.0759493670886076,1.819378684029852,138,0.8734177215189873,1036699.4375,./final1_hmm_seed42\tft_like,0.0,0.0,0.0,-0.053526920240468324,-2.264464474778925,11.190905302259448,-0.16675183771492574,-2.8491393030690495,9.302866622187954,-0.441910554383659,-3.897701975254458,8.79780387921214
xlstm_base,best_score,-0.005407148410212534,-0.00648125,0.9457788562605621,-0.004546794300807549,-0.006852817608574678,0.36075949367088606,0.9984692175812889,115,0.7278481012658228,999935.1875,./final1_hmm_seed42\xlstm_base,0.0,0.0,0.0,-0.053526920240468324,-2.264464474778925,11.190905302259448,-0.16675183771492574,-2.8491393030690495,9.302866622187954,-0.441910554383659,-3.897701975254458,8.79780387921214
xlstm_attn,best_score,0.07236763275464506,0.15956875,5.51133120823847,0.07591192871268723,0.028952850767065642,0.1962025316455696,1.0237556268180477,316,2.0,1001595.6875,./final1_hmm_seed42\xlstm_attn,0.0,0.0,0.0,-0.053526920240468324,-2.264464474778925,11.190905302259448,-0.16675183771492574,-2.8491393030690495,9.302866622187954,-0.441910554383659,-3.897701975254458,8.79780387921214
xlstm_large,best_score,0.48474298008716166,1.5750250000000001,4.026003319955854,0.62150299628024,0.39121304053402284,0.3860759493670886,1.1799720670183125,282,1.7848101265822784,1015750.25,./final1_hmm_seed42\xlstm_large,0.0,0.0,0.0,-0.053526920240468324,-2.264464474778925,11.190905302259448,-0.16675183771492574,-2.8491393030690495,9.302866622187954,-0.441910554383659,-3.897701975254458,8.79780387921214
